year,global_gdp_usd,global_gdp_growth_pct,global_inflation_pct,global_unemployment_pct,global_population,is_estimated
2005,47900489808168.9,4.05453629039749,4.10725070715931,6.22389912094209,6575841506,False
2006,51923507284496.0,4.47616958858079,4.26717463390264,5.97374019654838,6659977025,False
2007,58525785801185.8,4.41384473328108,4.81023704342912,5.77480901338889,6744489399,False
2008,64311729364641.3,2.09239458384161,8.94995335353387,5.82404352868675,6830513541,False
2009,60982255960004.4,-1.31864911944237,2.86044855902674,6.40934094809211,6916589116,False
2010,66811191491614.9,4.52424032554688,3.32634463368643,6.28092769649237,7001266876,False
2011,74309709353789.2,3.33900335400304,4.82239636013325,6.14877677051057,7087120034,False
2012,75960594595757.0,2.73120979279713,3.72532666110646,6.15180927283386,7176929184,False
2013,78034892841179.2,2.88814205849086,2.65167342916577,6.09906293447201,7265892332,False
2014,80054888775431.1,3.13301748764174,2.39371597209792,5.95720582647446,7354068030,False
2015,75621913961646.2,3.11378907834442,1.43702380935655,5.99825160171964,7441677465,False
2016,76831684012526.2,2.79359207247063,1.59691227583204,5.97068694834666,7528879985,False
2017,81839102917044.7,3.45183009055707,2.22314331448899,5.89788808678893,7614523410,False
2018,87050964956078.4,3.27395826417856,2.44258329692817,5.75951966875999,7697233736,False
2019,88483262418196.6,2.67911757479919,2.227478809383,5.58822341975783,7778008621,False
2020,85912761035231.2,-2.8992231033702,1.90509722047501,6.58731449706782,7854748424,False
2021,98140475264975.9,6.41334961541973,3.4754032028988,6.0451914548011,7920514854,False
2022,102251524725531.0,3.40305483746891,7.98518671835033,5.23426188470581,7989545217,False
2023,106741647821064.0,2.9485947500487,5.87010268787553,4.84957114230343,8064057930,False
2024,110982661180013.0,2.87194964204313,2.97200477643618,4.80587275250158,8141808945,True
